UserId,TotalCompetitions,TotalSubmissions,UserPoints,UserPointsMultiplier
62,1,2,3313.902428,3313.902428
368,15,36,19311.84953,15111.28218
381,1,3,1566.577747,1566.577747
392,9,175,55988.63981,55988.63981
394,8,46,34581.96182,33360.11235
397,1,2,304.1134187,304.1134187
398,2,10,2443.636179,1650.021666
399,1,5,4368.447455,2184.223727
406,1,6,902.3125238,45.11562619
412,6,60,5628.809264,5628.809264
417,11,244,14771.90265,12954.25396
421,41,662,64387.73282,60802.33417
422,1,3,409.3821108,409.3821108
424,6,143,30749.30462,24210.00755
435,1,5,1818.170927,1818.170927
438,2,15,4045.162767,4045.162767
441,1,5,251.1807255,0
443,7,102,10749.98718,10749.98718
451,25,447,32032.04714,32032.04714
454,1,1,4411.364824,2205.682412
460,1,11,2116.901063,2116.901063
461,1,1,2348.077107,1174.038554
464,1,14,252.4944369,252.4944369
478,3,14,3113.20127,3113.20127
506,4,53,8182.882806,8182.882806
507,2,20,1187.960205,1187.960205
512,1,1,2927.873366,1463.936683
517,2,3,1006.981843,1006.981843
519,17,65,13791.69839,13791.69839
526,2,100,829.8326586,829.8326586
543,23,1139,93964.04967,92632.02081
554,2,9,9566.670469,9566.670469
561,10,94,19388.02125,16753.09915
564,1,8,1135.963372,1135.963372
569,1,1,5248.107744,5248.107744
572,1,5,3124.005227,3124.005227
574,2,3,658.0007461,658.0007461
577,2,7,22201.62234,1705.448936
583,2,2,15710.61596,14569.96417
586,2,2,1389.336537,1389.336537
596,3,7,9073.007894,7121.303111
601,1,11,4768.203434,0
606,10,143,6887.393813,6192.169473
619,2,3,5957.792525,5957.792525
628,2,41,2469.891525,2469.891525
630,1,9,5339.79986,5339.79986
631,2,31,13618.84165,13618.84165
634,3,9,4440.294857,4440.294857
635,1,1,4016.301177,4016.301177
647,1,2,1768.657051,1768.657051
652,4,22,6529.583016,6529.583016
653,1,1,446.7203065,446.7203065
656,2,10,1362.442862,1362.442862
661,1,17,856.0030123,0
663,1,1,1537.985352,1537.985352
